Image,Beta,Alpha
Airplane,0.12229389206,0.33843452333
Airplane,0.1154131534,0.39596336707
Airplane,0.13752416776,0.3543336061
Airplane,0.15673558579,0.3962655641
Airplane,0.17283401167,0.3185324821
Airplane,0.18745739703,0.3481788792
Airplane,0.1023102397,0.3804272029
Airplane,0.1163718203,0.3084164326
Airplane,0.3267983554,0.3246078908
Airplane,0.1451010481,0.3349428961
Airplane,0.2675688579,0.3372117951
Airplane,0.1849432703,0.3281294627
Airplane,0.2008336723,0.3235445842
Airplane,0.2175036973,0.3293809923
Airplane,0.2342907367,0.3367471661
Airplane,0.2537288965,0.3394268565
Airplane,0.2721101147,0.3451518455
Airplane,0.2839617431,0.3506528543
Airplane,0.2913486927,0.3543773761
Airplane,0.3038280248,0.3625421548
Airplane,0.3186933699,0.3756444243
Airplane,0.3347226316,0.3454732108
Airplane,0.334184186,0.393300113
Airplane,0.3294955564,0.3440701845
Airplane,0.32647114,0.3110541606
Airplane,0.3262864215,0.2026376864
Airplane,0.3287074329,0.3872303583
Airplane,0.331392668,0.369069268
Airplane,0.3343425501,0.1534571591
Airplane,0.3390247473,0.1451850003
Airplane,0.3320993333,0.1465909547
Airplane,0.3205417144,0.149769992
Airplane,0.31755796,0.1659835471
Airplane,0.313417449,0.3742510093
Airplane,0.3045006067,0.3731593292
Airplane,0.294791005,0.3882616463
Airplane,0.4850593851,0.2083253095
Airplane,0.2800359754,0.2162377014
Airplane,0.2855749673,0.216888853
Airplane,0.494675617,0.2275709117
Airplane,0.2912850386,0.2424874282
Airplane,0.2822083242,0.2480067766
Airplane,0.4755469535,0.2427281267
Airplane,0.2676074522,0.2431307274
Airplane,0.2629730883,0.241528658
Airplane,0.2601195684,0.2442767204
Airplane,0.2584336045,0.2507750172
Airplane,0.2563206641,0.2587077727
Airplane,0.4513187684,0.2647181735
Airplane,0.2401706515,0.2632422456
Airplane,0.2292703291,0.3453028226
Airplane,0.2228933528,0.3239068405
Airplane,0.2174065653,0.3245191432
Airplane,0.2096801916,0.326928817
Airplane,0.207991243,0.3288225601
Airplane,0.2110471783,0.2298015361
Airplane,0.2120891678,0.2218722383
Airplane,0.2115560322,0.2108179721
Airplane,0.2077404605,0.2075798363
Airplane,0.1990155582,0.2253467122
Airplane,0.1910520163,0.3376649513
Airplane,0.192976418,0.3282466627
Airplane,0.4969946511,0.3207778804
Airplane,0.2020748048,0.3208706678
Airplane,0.3061360338,0.3095214762
Airplane,0.2049251672,0.3953218021
Airplane,0.2019399049,0.3766583874
Airplane,0.1937820432,0.3471102648
Airplane,0.1828999484,0.326891376
Airplane,0.1794313009,0.3123927518
Airplane,0.1836119516,0.3024523938
Airplane,0.1863488006,0.3267870756
Airplane,0.1841947358,0.3619308703
Airplane,0.1745788907,0.3568909086
Airplane,0.1707153525,0.3546113704
Airplane,0.1661231352,0.3597818891
Airplane,0.1635417093,0.3517788384
Airplane,0.1603233647,0.3377419017
Airplane,0.1542848102,0.3316876844
Airplane,0.1470032344,0.3136003798
Airplane,0.1434101971,0.39254290575
Airplane,0.1407374478,0.38514949449
Airplane,0.1395623639,0.37599221561
Airplane,0.1344903232,0.36840666433
Airplane,0.1235633879,0.37304027204
Airplane,0.1178199514,0.38857425758
Airplane,0.1162042334,0.3019806602
Airplane,0.1180851308,0.3110144736
Airplane,0.1224891209,0.3069023337
Airplane,0.1189635696,0.3083075811
Airplane,0.1106155179,0.3178514961
Airplane,0.1074627652,0.3167454223
Airplane,0.1093710126,0.3047420123
Airplane,0.1151575344,0.39599958482
Airplane,0.1175678821,0.39861250583
Airplane,0.1131522506,0.3053853451
Airplane,0.1125337876,0.39923222946
Airplane,0.1213316582,0.38267330747
Airplane,0.1330674333,0.37657913719
Airplane,0.1429123255,0.38155099237
Ball Bouncing,0.001395849316,0.007651569787
Ball Bouncing,0.0222409375,0.00468171173
Ball Bouncing,0.04793270852,0.04027083813
Ball Bouncing,0.07260600172,0.0840836808
Ball Bouncing,0.09315361421,0.1239702284
Ball Bouncing,0.1157918736,0.1578463473
Ball Bouncing,0.1409595405,0.2021630224
Ball Bouncing,0.1637436801,0.2487283458
Ball Bouncing,0.1844689796,0.2904652358
Ball Bouncing,0.2050504417,0.3284152026
Ball Bouncing,0.2261065835,0.3509930097
Ball Bouncing,0.243999022,0.3670741402
Ball Bouncing,0.263227996,0.3874468729
Ball Bouncing,0.2809758278,0.4058327754
Ball Bouncing,0.2961360186,0.4233013664
Ball Bouncing,0.3102633143,0.4323001663
Ball Bouncing,0.3253016066,0.4541310528
Ball Bouncing,0.3420596424,0.4830331447
Ball Bouncing,0.3586624068,0.5104016405
Ball Bouncing,0.3792387211,0.5314061826
Ball Bouncing,0.3998595372,0.5505083677
Ball Bouncing,0.4160726694,0.5765134289
Ball Bouncing,0.41280169,0.5807678812
Ball Bouncing,0.40817257,0.5636359396
Ball Bouncing,0.4040557055,0.5378792179
Ball Bouncing,0.4034381253,0.5081208533
Ball Bouncing,0.400950886,0.4881848521
Ball Bouncing,0.3928268709,0.4620978928
Ball Bouncing,0.3836187763,0.427740445
Ball Bouncing,0.3822211856,0.3916095505
Ball Bouncing,0.3840312159,0.3658487691
Ball Bouncing,0.3847901114,0.3572210612
Ball Bouncing,0.3883120189,0.3549801617
Ball Bouncing,0.3882569075,0.3470654098
Ball Bouncing,0.3877830374,0.3517952824
Ball Bouncing,0.3899548585,0.3726019176
Ball Bouncing,0.3897168146,0.4127779622
Ball Bouncing,0.3881942557,0.4372707817
Ball Bouncing,0.3851807096,0.4362777108
Ball Bouncing,0.379377537,0.4301048268
Ball Bouncing,0.3723043862,0.4350954376
Ball Bouncing,0.3672104597,0.4458753254
Ball Bouncing,0.3669252969,0.4725163008
Ball Bouncing,0.3682038691,0.5011346644
Ball Bouncing,0.3650627339,0.5093133384
Ball Bouncing,0.3610674559,0.502774648
Ball Bouncing,0.3588018978,0.511148483
Ball Bouncing,0.3580385138,0.5276760335
Ball Bouncing,0.3607657775,0.5482952751
Ball Bouncing,0.3629744447,0.5755737147
Ball Bouncing,0.3609851363,0.6103195561
Ball Bouncing,0.3554185287,0.628620112
Ball Bouncing,0.3479285216,0.6333309291
Ball Bouncing,0.3408068126,0.6390350435
Ball Bouncing,0.3372084078,0.6433417827
Ball Bouncing,0.3361949818,0.6350399594
Ball Bouncing,0.33407616,0.6084891187
Ball Bouncing,0.3374314214,0.5702493875
Ball Bouncing,0.3439562984,0.5341580334
Ball Bouncing,0.3507938446,0.5189086462
Ball Bouncing,0.3585287435,0.5183504978
Ball Bouncing,0.3622929497,0.5209405745
Ball Bouncing,0.3659715455,0.5237050794
Ball Bouncing,0.365818185,0.5138708829
Ball Bouncing,0.3617024403,0.5112974767
Ball Bouncing,0.3607539187,0.5300654058
Ball Bouncing,0.3650978619,0.5535099275
Ball Bouncing,0.3665356401,0.5529369265
Ball Bouncing,0.3678247213,0.5338454009
Ball Bouncing,0.3677674813,0.5060610625
Ball Bouncing,0.365349097,0.4795460839
Ball Bouncing,0.3573091215,0.4523843927
Ball Bouncing,0.3555721967,0.4302931701
Ball Bouncing,0.3579175798,0.4308955605
Ball Bouncing,0.3590370942,0.4258771567
Ball Bouncing,0.354593249,0.4091754991
Ball Bouncing,0.3525710306,0.4083539698
Ball Bouncing,0.3566966423,0.4155964125
Ball Bouncing,0.355913094,0.4166352846
Ball Bouncing,0.3465221723,0.4185225268
Ball Bouncing,0.3359344629,0.4184186897
Ball Bouncing,0.3293879931,0.404278291
Ball Bouncing,0.326978134,0.3777974344
Ball Bouncing,0.3254587449,0.3486611135
Ball Bouncing,0.3254166544,0.3299091222
Ball Bouncing,0.3261265774,0.3198538987
Ball Bouncing,0.3265224154,0.3130376237
Ball Bouncing,0.3230882909,0.3100908339
Ball Bouncing,0.3210431427,0.3068114517
Ball Bouncing,0.3174734328,0.2903817305
Ball Bouncing,0.3146384571,0.2735460873
Ball Bouncing,0.316573177,0.2591425352
Ball Bouncing,0.3223180076,0.2491311298
Ball Bouncing,0.3227386577,0.2536877206
Ball Bouncing,0.3271302072,0.2483301347
Ball Bouncing,0.3311515301,0.2479812363
Ball Bouncing,0.3368162631,0.2600425354
Ball Bouncing,0.3411121107,0.2606003559
Ball Bouncing,0.3403778793,0.2503077687
Ball Bouncing,0.3403305357,0.243637873
Ball Bouncing,0.3438108392,0.252334077
Calendar,0.01277698038,0.01550053352
Calendar,0.04400509197,0.01103560758
Calendar,0.07829147672,0.004124494667
Calendar,0.1078838157,0.00215168961
Calendar,0.1349709166,0.0006768058104
Calendar,0.1589766667,0.006553470505
Calendar,0.1758738535,0.01417253392
Calendar,0.1911822677,0.02959511094
Calendar,0.2056910782,0.04780497239
Calendar,0.2245823678,0.07059689124
Calendar,0.2482043921,0.09795593105
Calendar,0.2719273377,0.1179174379
Calendar,0.2964919447,0.1288437231
Calendar,0.3204285454,0.1419629328
Calendar,0.3376076596,0.1481443682
Calendar,0.3527882828,0.1462377463
Calendar,0.3676314029,0.1417057377
Calendar,0.3838778771,0.1331213892
Calendar,0.3981414958,0.1314661007
Calendar,0.4155313095,0.1351214508
Calendar,0.4368193808,0.1401955855
Calendar,0.441992786,0.161134532
Calendar,0.4253085774,0.1622528359
